row_1,mf_id,model_id,firmware_id,dname,imei,vpa_id
1,mf_1,model_1,firmware_1,tester_device41,tester_imei41,tester_vpa1@bank41
2,mf_1,model_1,firmware_1,tester_device42,tester_imei42,tester_vpa2@bank42
3,mf_1,model_1,firmware_1,tester_device43,tester_imei43,tester_vpa3@bank43
4,mf_1,model_1,firmware_1,tester_device44,tester_imei44,tester_vpa4@bank44
5,mf_1,model_1,firmware_1,tester_device45,tester_imei45,tester_vpa5@bank45
6,mf_1,model_1,firmware_1,tester_device46,tester_imei46,tester_vpa6@bank46
7,mf_1,model_1,firmware_1,tester_device47,tester_imei47,tester_vpa7@bank47
8,mf_1,model_1,firmware_1,tester_device48,tester_imei48,tester_vpa8@bank48
9,mf_1,model_1,firmware_1,tester_device49,tester_imei49,tester_vpa9@bank49
10,mf_1,model_1,firmware_1,tester_device50,tester_imei50,tester_vpa10@bank50
